Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize
Apr,2,Tuesday,Toyota,Urban,Tuesday,Apr,2,Male,Single,41,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4111,4,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1538.08267938344
Apr,4,Monday,Toyota,Urban,Tuesday,May,1,Male,Single,22,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4112,9,400,1,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils,7172.0736405029
Apr,4,Monday,Pontiac,Urban,Tuesday,Apr,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4113,15,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,60381.5137578358
May,2,Monday,Pontiac,Urban,Friday,May,2,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4114,15,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,3034.45007332671
Jun,2,Friday,Pontiac,Rural,Thursday,Jun,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4115,9,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,3978.2324000133
Jun,3,Wednesday,Mazda,Urban,Thursday,Jun,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4116,10,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,47344.2096432812
Jul,2,Monday,Toyota,Urban,Tuesday,Jul,2,Male,Married,58,Policy Holder,Sedan - Liability,Sport,more than 69000,0,4117,16,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability,70530.6469514398
Aug,4,Monday,Pontiac,Urban,Tuesday,Aug,4,Male,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4118,10,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,6500.27820720092
Sep,5,Thursday,Mazda,Urban,Tuesday,Oct,1,Female,Married,33,Third Party,Sedan - All Perils,Sedan,less than 20000,0,4119,11,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,3282.41447575454
Dec,4,Thursday,Accura,Urban,Thursday,Dec,5,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,4122,13,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,56479.0906568321
Mar,2,Saturday,Honda,Urban,Monday,Mar,2,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4123,5,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,8398.06203719689
Apr,4,Monday,Toyota,Rural,Tuesday,Apr,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4127,14,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,26768.4577553471
Jun,5,Friday,Pontiac,Urban,Tuesday,Jul,4,Male,Married,56,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4129,11,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,50201.4284480754
Jun,5,Thursday,Chevrolet,Urban,Monday,Jul,2,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4130,9,400,3,more than 30,more than 30,none,more than 7,51 to 65,Yes,No,External,none,no change,1 vehicle,1994,All Perils,6661.79126814876
Jul,2,Tuesday,Honda,Rural,Wednesday,Jul,2,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4132,16,500,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Collision,6366.01251956367
Jul,3,Sunday,Pontiac,Urban,Friday,Jul,4,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4133,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,3194.39516954123
Oct,4,Thursday,Toyota,Urban,Thursday,Nov,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4134,12,400,1,more than 30,more than 30,none,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision,8407.21996990605
Nov,1,Sunday,Toyota,Urban,Tuesday,Nov,2,Male,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4135,4,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,5423.53584705173
Nov,2,Friday,Pontiac,Urban,Thursday,Nov,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4136,16,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,9064.5526496416
Nov,3,Friday,Accura,Urban,Thursday,Nov,4,Female,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4137,4,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1579.82623892656
Nov,2,Friday,Accura,Urban,Monday,Nov,3,Male,Single,38,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,4139,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,Yes,External,none,no change,1 vehicle,1994,Collision,69927.8940723104
Oct,5,Saturday,Toyota,Urban,Friday,Nov,3,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4140,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,2275.95534459874
Sep,4,Thursday,Mazda,Urban,Friday,Oct,1,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4142,14,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,3 to 4,1994,Liability,83668.4834825504
Jul,2,Tuesday,Pontiac,Urban,Wednesday,Jul,2,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,4145,14,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,26086.7029741821
Jun,1,Wednesday,Accura,Urban,Friday,Jun,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,4146,5,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,38548.235360555
Jul,1,Thursday,Pontiac,Urban,Tuesday,Aug,1,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4147,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1471.98015688481
Jun,5,Thursday,Toyota,Urban,Tuesday,Jul,1,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4148,9,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,7969.15231056039
Jun,3,Friday,Mazda,Urban,Tuesday,Jun,3,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4150,15,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,886.187769067103
May,3,Wednesday,Mazda,Urban,Thursday,May,3,Female,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4151,7,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,2578.77997823575
Apr,4,Saturday,Pontiac,Urban,Monday,Apr,4,Male,Married,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4152,12,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,Internal,3 to 5,no change,1 vehicle,1994,Collision,3235.23455921681
Mar,4,Thursday,Toyota,Urban,Friday,Mar,4,Male,Single,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4153,8,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,7607.39914712682
Mar,4,Friday,Honda,Urban,Monday,Mar,4,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4154,10,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,7759.65703765682
Mar,3,Thursday,Toyota,Urban,Thursday,Mar,3,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,4156,8,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,62888.3079961455
Mar,2,Monday,Honda,Urban,Monday,Mar,3,Male,Married,63,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4158,11,400,4,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,1356.89035288436
Oct,5,Friday,Pontiac,Urban,Wednesday,Nov,1,Male,Married,31,Third Party,Sedan - Liability,Sport,30000 to 39000,0,4161,9,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,7874.09509843319
Oct,3,Tuesday,Honda,Rural,Wednesday,Oct,4,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4162,10,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,3792.85263301424
Oct,3,Tuesday,Accura,Rural,Monday,Oct,4,Male,Married,38,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,4163,3,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,69029.5913970599
Oct,1,Tuesday,Toyota,Urban,Wednesday,Oct,1,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4164,6,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,9004.93478511324
Jun,1,Wednesday,Ford,Rural,Thursday,Jun,1,Male,Married,67,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,4165,8,400,3,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,26408.0921179309
Jun,1,Wednesday,Pontiac,Urban,Monday,Jun,2,Male,Married,56,Third Party,Utility - All Perils,Utility,40000 to 59000,0,4166,6,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,59263.7024344489
Aug,3,Wednesday,Chevrolet,Urban,Monday,Aug,4,Male,Married,57,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4168,7,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,19170.9862589952
Jul,1,Wednesday,Pontiac,Urban,Wednesday,Jul,2,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4170,7,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,4418.38992576077
Jun,3,Tuesday,Pontiac,Urban,Thursday,Jun,3,Male,Single,28,Policy Holder,Sedan - Liability,Sport,less than 20000,0,4172,4,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,4954.89208609545
Jun,1,Wednesday,Toyota,Urban,Thursday,Jun,2,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,4173,5,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,57426.1489174543
Jun,2,Thursday,Pontiac,Urban,Monday,Jun,2,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4175,7,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,7183.04898451096
Jun,1,Thursday,Mazda,Urban,Friday,Jun,1,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,4176,16,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,5496.99144807943
May,5,Sunday,Honda,Urban,Monday,May,5,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4177,4,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,5814.85048765938
May,4,Thursday,Toyota,Urban,Thursday,May,4,Male,Married,42,Policy Holder,Sedan - Liability,Sport,more than 69000,0,4178,2,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,81995.2899889665
Jun,1,Thursday,Pontiac,Rural,Wednesday,Jun,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4179,6,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,73871.3101188364
May,2,Monday,Mazda,Urban,Monday,May,2,Male,Married,56,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4180,2,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,36145.1285587765
Apr,5,Friday,Honda,Urban,Monday,May,1,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4181,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,3758.51288618285
Apr,4,Wednesday,Honda,Rural,Wednesday,May,1,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4182,2,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1994,Collision,1508.60854371405
Apr,4,Monday,Accura,Urban,Friday,May,1,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4183,1,500,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,2 to 3 years,3 to 4,1994,Liability,17508.322969729
Apr,3,Saturday,Chevrolet,Urban,Thursday,May,3,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4185,13,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,2327.9254388911
Apr,2,Monday,Pontiac,Urban,Monday,Apr,3,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,4186,6,700,3,more than 30,more than 30,1,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,4260.17860517155
Jun,1,Thursday,Pontiac,Urban,Wednesday,Jun,2,Male,Single,21,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4187,5,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,1 year,1 vehicle,1994,All Perils,8758.16520497523
Mar,4,Sunday,Mazda,Urban,Wednesday,Apr,1,Male,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4190,10,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,5932.62086243601
Mar,4,Monday,Honda,Urban,Tuesday,Mar,4,Male,Single,21,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,4191,3,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,67668.9545212761
Mar,2,Thursday,Honda,Urban,Friday,Jun,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4192,4,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,39579.7685621165
Dec,3,Sunday,Mazda,Urban,Thursday,Feb,1,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4194,13,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,18604.8426882921
Nov,4,Thursday,Chevrolet,Urban,Thursday,Dec,1,Male,Married,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4195,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,24216.4125061352
Nov,2,Wednesday,Chevrolet,Urban,Friday,Nov,3,Female,Single,32,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4196,1,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,9896.95572964364
May,2,Thursday,Toyota,Rural,Friday,May,4,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4199,13,400,4,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,6517.3953703564
May,1,Monday,Pontiac,Urban,Tuesday,May,1,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4200,5,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,26162.9270831859
Aug,1,Monday,Pontiac,Urban,Monday,Oct,4,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4201,4,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,5463.61216810717
Jun,1,Friday,Mazda,Urban,Monday,Jul,1,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,4203,15,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,69505.8257808158
Nov,5,Tuesday,Chevrolet,Urban,Thursday,Dec,1,Female,Married,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4204,8,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,3077.81883588753
Nov,3,Wednesday,Accura,Urban,Wednesday,Nov,3,Male,Married,41,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,4205,10,400,1,15 to 30,15 to 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,51707.8402155283
Nov,2,Saturday,Toyota,Urban,Wednesday,Nov,3,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4206,12,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1765.47343009021
May,2,Thursday,Pontiac,Urban,Friday,May,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4207,14,400,3,15 to 30,15 to 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,4848.26789853919
Aug,1,Sunday,Mazda,Urban,Monday,Aug,2,Male,Single,66,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4208,13,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,8586.40931630841
Jul,4,Tuesday,Pontiac,Urban,Friday,Jul,5,Male,Married,49,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4209,11,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1337.99814779284
Dec,3,Saturday,Toyota,Urban,Thursday,Dec,5,Female,Single,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4211,10,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,6969.04303219073
Sep,2,Tuesday,Pontiac,Urban,Tuesday,Sep,2,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4214,11,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,8533.19187300641
Oct,3,Sunday,Toyota,Urban,Tuesday,Oct,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,4215,16,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,73961.6907947591
Sep,3,Thursday,Ford,Urban,Friday,Sep,3,Male,Married,47,Third Party,Utility - All Perils,Utility,more than 69000,0,4217,2,700,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,86532.6719965174
Dec,5,Thursday,Toyota,Urban,Sunday,Jan,1,Male,Single,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4218,11,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,2665.46131708431
Apr,3,Wednesday,VW,Urban,Wednesday,Apr,3,Male,Married,47,Policy Holder,Sedan - Liability,Sport,more than 69000,0,4219,14,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,78038.2005736786
May,4,Thursday,Pontiac,Urban,Friday,May,4,Male,Married,70,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,4220,5,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,4162.89720074914
May,3,Monday,Toyota,Urban,Tuesday,May,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4221,10,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1222.71789499623
Aug,2,Thursday,Toyota,Rural,Friday,Aug,3,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4222,7,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision,4379.34490118995
Jun,1,Friday,Honda,Urban,Wednesday,Jun,5,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,4223,5,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,87808.1068983621
Oct,2,Wednesday,Chevrolet,Urban,Tuesday,Oct,3,Female,Married,45,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4224,7,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,Liability,2554.84167785075
Nov,4,Friday,Mazda,Urban,Monday,Nov,4,Female,Divorced,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4225,4,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,17528.9099556574
Nov,5,Monday,Mazda,Urban,Monday,Dec,2,Female,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4227,10,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,5114.71323522045
Jan,3,Tuesday,Toyota,Urban,Tuesday,Feb,2,Female,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4228,6,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,9187.96951214549
May,5,Tuesday,Mazda,Urban,Monday,Jun,1,Female,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4230,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1494.61857934036
Nov,4,Saturday,Toyota,Urban,Monday,Nov,4,Male,Married,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4232,16,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,7378.0395327712
May,2,Monday,Ford,Urban,Tuesday,May,2,Male,Married,65,Third Party,Sedan - Liability,Sport,40000 to 59000,0,4235,1,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,77816.5911049613
Feb,2,Friday,Mazda,Urban,Monday,Feb,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4236,2,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,9193.4189927815
Feb,1,Wednesday,Chevrolet,Urban,Tuesday,Mar,4,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4237,3,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,26596.1357868594
Mar,1,Friday,Toyota,Urban,Thursday,Apr,3,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,4238,8,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,3109.6650890605
Jan,4,Saturday,Ford,Rural,Tuesday,Jan,5,Male,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4240,14,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,887.974837186432
Nov,1,Thursday,Toyota,Urban,Monday,Nov,1,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4244,8,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision,4580.40245953484
Nov,1,Thursday,Toyota,Urban,Friday,Nov,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4245,8,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1607.0290166834
Mar,5,Thursday,Mazda,Urban,Thursday,Mar,5,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4246,11,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,22580.1549627933
Apr,3,Sunday,Mazda,Urban,Monday,Apr,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4250,10,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,22148.9181099256
Apr,1,Friday,Toyota,Urban,Tuesday,Apr,1,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4251,4,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,5125.18544374365
Mar,3,Sunday,Pontiac,Urban,Monday,Mar,5,Male,Married,54,Policy Holder,Sedan - Liability,Sport,more than 69000,0,4252,9,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,80852.4716099863
Mar,3,Thursday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,65,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4254,10,400,1,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,52624.8547373629
